Movie Title,Movie Rating,Movie Revenue,books,rating,average_votes
the iron heel,,,"The Last Man on Earth (The Graysons, #1)",3.42,826.0
the island at the top of the world,6.3,,Hippocrates Lifeforce: Superior Health and Longevity,4.26,35.0
i am number four,6.1,55086029.0,The Iron Heel,3.75,6871.0
jurassic park,8.1,45299680.0,The Lost World (Jurassic Park #2),3.76,104799.0
k-pax,7.4,50040205.0,Le Maître Du Temps,4.33,3.0
the land that time forgot,5.7,,"Marooned in Realtime (Across Realtime, #2)",4.08,4670.0
the last man on earth,7.4,,The Martian,4.4,652405.0
the lathe of heaven,7.2,,Maze Runner: The Death Cure: The Official Graphic Novel Prelude,3.92,106.0
in search of the castaways,6.7,,"Jumper (Jumper, #1)",3.9,12137.0
logan's run,6.8,,"Meg (MEG, #1)",3.75,15643.0
the lost world: jurassic park,6.5,,"Dark Metropolis (Dark Metropolis, #1)",3.43,1116.0
les maîtres du temps,,,"The Girl with the Dragon Tattoo (Millennium, #1)",4.13,2223909.0
the man who fell to earth,6.7,,The Extended Mission of Stardust Four Zero,3.0,1.0
a wrinkle in time,4.2,,,,
the martian,8.0,202313768.0,Mr. Murder,3.74,22335.0
maze runner: the death cure,6.3,57074211.0,Night Of The Big Heat,3.44,18.0
maze runner: the death cure,6.3,57074211.0,Night Of The Big Heat,3.44,18.0
maze runner: the scorch trials,6.3,,The Hidden Oasis,3.78,2155.0
edge of tomorrow,7.9,77121429.0,The Face of Another,3.78,2716.0
memoirs of an invisible man,5.9,,Tarzan And The Silver Globe ..,2.83,6.0
metropolis,8.3,529603.0,Paprika,3.26,2018.0
the girl with all the gifts,6.7,,The Guest from the Future: Anna Akhmatova and Isaiah Berlin,3.84,19.0
mission stardust,3.9,,"The People That Time Forgot (Caspak, #2)",3.7,1706.0
mortal engines,6.5,,The Postman,3.88,28329.0
mr. murder,,,The Power,3.88,85557.0
never let me go,7.2,2412045.0,The Prestige,3.88,15618.0
night of the big heat,,,"A Princess of Mars (Barsoom, #1)",3.8,46300.0
the iron giant,8.0,,"The Land That Time Forgot (Caspak, #1)",3.81,2376.0
the omega man,6.6,,The Quiet Earth,3.52,314.0
on the silver globe,7.3,,Radio Free Albemuth,3.8,5044.0
paprika,7.7,720502.0,Return from Witch Mountain,3.76,508.0
parasite eve,5.9,,"The Gods of Riverworld (Riverworld, #5)",3.62,3313.0
the people that time forgot,5.4,,The Road,3.96,622113.0
the postman,6.0,,The Running Man,3.85,84062.0
the power,6.1,,The Satan Bug,3.7,2228.0
the prestige,8.5,53100000.0,A Scanner Darkly,4.03,72854.0
princess of mars,3.1,,Skullduggery,3.4,10.0
project x,6.7,53400000.0,"Solar Dance: Genius, Forgery and the Crisis of Truth in the Modern Age",3.39,107.0
lorelei: the witch of the pacific ocean,5.3,,Memoirs of an Invisible Man,4.11,1465.0
the quiet earth,6.8,,"Sherman: Soldier, Realist, American",4.13,213.0
radio free albemuth,5.8,169298.0,Solo,3.99,6703.0
ready player one,7.5,,Somewhere In Time,3.89,6168.0
return from witch mountain,5.9,,La soupe aux choux,3.97,60.0
the war of the worlds,7.2,,The War of the Worlds,3.81,206289.0
the road,7.3,8025059.0,"Articles on Films Based on IRA Levin's Works, Including: The Boys from Brazil (Film), the Stepford Wives (2004 Film), a Kiss Before Dying (1991 Film), the Stepford Wives (1975 Film), Rosemary's Baby (Film), the Stepford Children",1.0,1.0
the running man,6.7,,Stepford Husbands,2.75,12.0
the satan bug,6.2,,The Stepford Wives,3.74,24468.0
a scanner darkly,7.1,5281537.0,Subterranean,4.02,20606.0
skullduggery,4.7,,"Damned (Damned, #1)",3.38,42425.0
slaughterhouse-five,6.9,,The Prisoners of the Thirteenth Floor,4.29,7.0
journey to the center of the earth,5.8,101653320.0,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",3.85,126361.0
solaris,6.2,14780776.0,The Three-Body Problem (Remembrance of Earth’s Past #1),4.05,81604.0
the divergent series: allegiant,,,"Eagle Eye (Shadows in the Dark, #6)",0.0,0.0
solo,3.9,,The Time Traveler's Wife,3.96,1421801.0
somewhere in time,7.3,,Timeline,3.84,171603.0
la soupe aux choux,,,Timescape,3.73,9501.0
soylent green,7.1,,À ton image,2.0,4.0
the island at the top of the world,6.3,,Hippocrates Lifeforce: Superior Health and Longevity,4.26,35.0
starship troopers,7.2,,The Tunnel Under the World,3.9,400.0
"the world, the flesh and the devil",7.0,,,,
the stepford husbands,4.5,,The Village Schoolmaster,3.3,40.0
the stepford wives,5.3,59341993.0,Vinyl (Vinyl #1),4.14,400.0
the strange world of planet x,4.9,,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,4.11,84456.0
the subterraneans,5.2,,All the Light We Cannot See,4.33,751711.0
amphibian man,7.2,,The Amphibian,4.14,3130.0
somewhere in time,7.3,,Timeline,3.84,171603.0
the thirteenth floor,7.0,,"The World, the Flesh and the Devil",3.92,133.0
this island earth,5.9,,"A Wrinkle in Time (Time Quintet, #1)",4.02,829546.0
the three-body problem,,,Z for Zachariah,3.65,12702.0
the time machine,5.9,56684819.0,,,
the time traveler's wife,7.1,63387284.0,,,
timeline,5.6,19375474.0,,,
timescape,6.3,,,,
à ton image,4.8,,,,
a trip to the moon,8.2,,,,
the tunnel under the world,,,,,
the ugly swans,,,,,
the beastmaster,6.2,,"Bill, the Galactic Hero (Bill, the Galactic Hero, #1)",3.59,3608.0
a wrinkle in time,4.2,,,,
the island at the top of the world,6.3,,Hippocrates Lifeforce: Superior Health and Longevity,4.26,35.0
the face of another,8.0,,Four-Sided Triangle,3.6,30.0
when worlds collide,6.7,,,,
woman in the moon,7.4,,,,
journey to the center of the earth,5.8,101653320.0,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",3.85,126361.0
"the world, the flesh and the devil",7.0,,,,
a wrinkle in time,4.2,,,,
z for zachariah,6.0,118483.0,,,
